type,name,detail,data_type,is_nullable,column_default
POLICY,questions,Admins can manage questions,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,questions,Authenticated users can view questions,SELECT,PERMISSIVE,true
POLICY,questions,Content_Manage_Admin,ALL,PERMISSIVE,is_admin()
POLICY,questions,Content_Read_Secured,SELECT,PERMISSIVE,"(((( SELECT profiles.is_active
   FROM profiles
  WHERE (profiles.id = auth.uid())) = true) AND (( SELECT profiles.subscription_ends_at
   FROM profiles
  WHERE (profiles.id = auth.uid())) > now())) OR is_admin())"
POLICY,results,Results_Delete_Admin,DELETE,PERMISSIVE,is_admin()
POLICY,results,Results_Insert_Own,INSERT,PERMISSIVE,null
POLICY,results,Results_Select_Own_Or_Admin,SELECT,PERMISSIVE,((auth.uid() = user_id) OR is_admin())
POLICY,squad_chat_messages,مسح الشات للمالك والأدمن,DELETE,PERMISSIVE,"((EXISTS ( SELECT 1
   FROM squads
  WHERE ((squads.id = squad_chat_messages.squad_id) AND (squads.owner_id = auth.uid())))) OR (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'admin'::text))"
POLICY,squad_chat_messages,وصول للشات,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM squad_members
  WHERE ((squad_members.squad_id = squad_chat_messages.squad_id) AND (squad_members.profile_id = auth.uid()))))"
POLICY,squad_exam_challenges,Anyone authenticated can create challenges,INSERT,PERMISSIVE,null
POLICY,squad_exam_challenges,Anyone authenticated can view challenges,SELECT,PERMISSIVE,true
POLICY,squad_exam_challenges,Create exam challenges,INSERT,PERMISSIVE,null
POLICY,squad_exam_challenges,View exam challenges,SELECT,PERMISSIVE,true
POLICY,squad_exam_sessions,أعضاء الشلة يحلون امتحانات معا,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM squad_members
  WHERE ((squad_members.squad_id = squad_exam_sessions.squad_id) AND (squad_members.profile_id = auth.uid()))))"
POLICY,squad_members,أي حد يقدر ينضم لشلة,INSERT,PERMISSIVE,null
POLICY,squad_members,الكل يشوف الأعضاء,SELECT,PERMISSIVE,true
POLICY,squad_members,المالك يحذف الأعضاء,DELETE,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM squads
  WHERE ((squads.id = squad_members.squad_id) AND (squads.owner_id = auth.uid()))))"
POLICY,squad_members,المستخدم ينضم لنفسه,INSERT,PERMISSIVE,null
POLICY,squad_message_reads,الكل يقرأ علامات القراءة,SELECT,PERMISSIVE,true
POLICY,squad_message_reads,المستخدم يسجل قراءته,ALL,PERMISSIVE,(auth.uid() = profile_id)
POLICY,squad_pomodoro,أعضاء الشلة يديرون البومودورو,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM squad_members
  WHERE ((squad_members.squad_id = squad_pomodoro.squad_id) AND (squad_members.profile_id = auth.uid()))))"
POLICY,squad_task_completions,الكل يشوف إنجازات الشلة,SELECT,PERMISSIVE,true
POLICY,squad_task_completions,المستخدم يسجل إنجازه بنفسه,ALL,PERMISSIVE,(auth.uid() = profile_id)
POLICY,squad_tasks,وصول للمهام,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM squad_members
  WHERE ((squad_members.squad_id = squad_tasks.squad_id) AND (squad_members.profile_id = auth.uid()))))"
POLICY,squads,Squad owners can update,UPDATE,PERMISSIVE,(auth.uid() = owner_id)
POLICY,squads,Squads are viewable by everyone,SELECT,PERMISSIVE,true
POLICY,squads,الشلل مرئية للجميع للمشاركة,SELECT,PERMISSIVE,true
POLICY,squads,المستخدمين يقدروا ينشئوا شلل,INSERT,PERMISSIVE,null
POLICY,squads,صاحب الشلة يقدر يعدلها,UPDATE,PERMISSIVE,(auth.uid() = owner_id)
POLICY,subjects,Admins can manage subjects,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,subjects,Authenticated users can view subjects,SELECT,PERMISSIVE,true
POLICY,subjects,Content_Manage_Admin,ALL,PERMISSIVE,is_admin()
POLICY,subjects,Content_Read_Secured,SELECT,PERMISSIVE,"(((( SELECT profiles.is_active
   FROM profiles
  WHERE (profiles.id = auth.uid())) = true) AND (( SELECT profiles.subscription_ends_at
   FROM profiles
  WHERE (profiles.id = auth.uid())) > now())) OR is_admin())"
POLICY,todos,Users can create their own todos,INSERT,PERMISSIVE,null
POLICY,todos,Users can delete their own todos,DELETE,PERMISSIVE,(auth.uid() = user_id)
POLICY,todos,Users can update their own todos,UPDATE,PERMISSIVE,(auth.uid() = user_id)
POLICY,todos,Users can view their own todos,SELECT,PERMISSIVE,(auth.uid() = user_id)
POLICY,user_streaks,Manage own streak,ALL,PERMISSIVE,(auth.uid() = profile_id)
POLICY,user_streaks,View streaks,SELECT,PERMISSIVE,true
